Broadway & E 22 St
Joralemon St & Adams St
Spruce St & Nassau St
Lawrence St & Willoughby St
Forsyth St & Broome St
W 45 St & 8 Ave
Cleveland Pl & Spring St
Front St & Washington St
E 13 St & Avenue A
E 20 St & FDR Drive
Greenwich Ave & 8 Ave
Stanton St & Chrystie St
E 17 St & Broadway
E 2 St & Avenue C
Hudson St & Reade St
E 58 St & 3 Ave
W 16 St & The High Line
E 11 St & 1 Ave
Clinton Ave & Myrtle Ave
E 53 St & Lexington Ave
E 55 St & 2 Ave
E 39 St & 2 Ave
Atlantic Ave & Fort Greene Pl
S 5 Pl & S 4 St
MacDougal St & Prince St
E 4 St & 2 Ave
Allen St & Hester St
Broadway & W 36 St
E 6 St & Avenue D
W 46 St & 11 Ave
E 14 St & Avenue B
Madison St & Clinton St
DeKalb Ave & S Portland Ave
11 Ave & W 41 St
Barclay St & Church St
E 10 St & Avenue A
Pearl St & Hanover Square
8 Ave & W 31 St
9 Ave & W 18 St
W 31 St & 7 Ave
W 42 St & 8 Ave
William St & Pine St
E 10 St & 5 Ave
W 56 St & 6 Ave
Franklin St & W Broadway
5 Ave & E 29 St
E 9 St & Avenue C
John St & William St
W 24 St & 7 Ave
E 39 St & 3 Ave
W 47 St & 10 Ave
W 43 St & 10 Ave
6 Ave & Broome St
Carlton Ave & Park Ave
W 49 St & 8 Ave
E 45 St & 3 Ave
W 17 St & 8 Ave
E 51 St & 1 Ave
W 15 St & 7 Ave
Bayard St & Baxter St
2 Ave & E 58 St
W 59 St & 10 Ave
Bank St & Washington St
E 33 St & 1 Ave
Greenwich St & Warren St
Cherry St
1 Ave & E 18 St
1 Ave & E 44 St
W 29 St & 9 Ave
Columbia St & Rivington St
Christopher St & Greenwich St
Vesey Pl & River Terrace
W 39 St & 9 Ave
Clinton St & Grand St
Broadway & W 58 St
E 31 St & 3 Ave
E 42 St & Vanderbilt Ave
E 41 St & Madison Ave
W 56 St & 10 Ave
Bedford Ave & S 9th St
Lafayette Ave & Fort Greene Pl
Canal St & Rutgers St
W 22 St & 8 Ave
Little West St & 1 Pl
Avenue D & E 3 St
E 19 St & 3 Ave
Leonard St & Church St
W 38 St & 8 Ave
E 47 St & 2 Ave
W 52 St & 9 Ave
E 6 St & Avenue B
E 47 St & Park Ave
E 25 St & 1 Ave
Broadway & W 55 St
West Thames St
Bank St & Hudson St
E 37 St & Lexington Ave
Wythe Ave & Metropolitan Ave
Warren St & Church St
W 37 St & 5 Ave
E 52 St & 2 Ave
E 16 St & Irving Pl
Fulton St & William St
Greenwich St & N Moore St
E 5 St & Avenue C
Adelphi St & Myrtle Ave
Henry St & Grand St
Broadway & W 39 St
Broadway & W 60 St
E 59 St & Sutton Pl
S Portland Ave & Hanson Pl
Greenwich Ave & Charles St
Concord St & Bridge St
South St & Whitehall St
Monroe St & Classon Ave
Water - Whitehall Plaza
Grand St & Greene St
W Houston St & Hudson St
Broadway & W 37 St
South End Ave & Liberty St
Duane St & Greenwich St
W 18 St & 6 Ave
Clermont Ave & Lafayette Ave
Central Park S & 6 Ave
3 Ave & Schermerhorn St
Madison St & Montgomery St
Lefferts Pl & Franklin Ave
Lafayette Ave & St James Pl
S 4 St & Wythe Ave
Market St & Cherry St
W 20 St & 8 Ave
Washington Park
Hancock St & Bedford Ave
Fulton St & Grand Ave
Monroe St & Bedford Ave
Front St & Maiden Ln
Bialystoker Pl & Delancey St
Hicks St & Montague St
E 27 St & 1 Ave
State St & Smith St
W 49 St & 5 Ave
E 48 St & 3 Ave
Fulton St & Rockwell Pl
Old Slip & Front St
S 3 St & Bedford Ave
FDR Drive & E 35 St
Pike St & Monroe St
Clinton Ave & Flushing Ave
St James Pl & Oliver St
Willoughby Ave & Walworth St
Forsyth St & Canal St
E 53 St & Madison Ave
Maiden Ln & Pearl St
E 33 St & 5 Ave
Duffield St & Willoughby St
W 27 St & 7 Ave
Broadway & W 29 St
Henry St & Atlantic Ave
Fulton St & Clermont Ave
12 Ave & W 40 St
MacDougal St & Washington Sq
W 52 St & 11 Ave
W 26 St & 10 Ave
Broadway & W 49 St
E 40 St & 5 Ave
Catherine St & Monroe St
Stanton St & Mangin St
Flushing Ave & Carlton Ave
Washington Square E
South St & Gouverneur Ln
York St & Jay St
Johnson St & Gold St
Harrison St & Hudson St
Broadway & Battery Pl
Pitt St & Stanton St
Perry St & Bleecker St
E 55 St & Lexington Ave
Suffolk St & Stanton St
Fulton St & Waverly Ave
W 45 St & 6 Ave
Sands St & Gold St
Mercer St & Bleecker St
Park Ave & St Edwards St
W 34 St & 11 Ave
Kent Ave & S 11 St
Lispenard St & Broadway
Bond St & Schermerhorn St
Willoughby Ave & Hall St
DeKalb Ave & Skillman St
Washington Ave & Park Ave
Cadman Plaza E & Tillary St
W 52 St & 5 Ave
E 11 St & Broadway
Lexington Ave & Classon Ave
W 44 St & 5 Ave
State St
Reade St & Broadway
Henry St & Poplar St
W 13 St & 5 Ave
Liberty St & Broadway
6 Ave & Canal St
Pike St & E Broadway
W 25 St & 6 Ave
E 47 St & 1 Ave
Clermont Ave & Park Ave
E 56 St & Madison Ave
Clark St & Henry St
Broad St & Bridge St
Clinton St & Tillary St
Clinton St & Joralemon St
Myrtle Ave & St Edwards St
Nassau St & Navy St
Pearl St & Anchorage Pl
9 Ave & W 16 St
Murray St & West St
Gallatin Pl & Livingston St
Avenue D & E 12 St
Lafayette Ave & Classon Ave
Old Fulton St
11 Ave & W 27 St
E 43 St & 2 Ave
Atlantic Ave & Furman St
E 51 St & Lexington Ave
W 54 St & 9 Ave
E 25 St & 2 Ave
Hanover Pl & Livingston St
W 14 St & The High Line
Broadway & Berry St
Laight St & Hudson St
7 Ave & Farragut St
Franklin Ave & Myrtle Ave
Railroad Ave & Kay Ave
Columbia Heights & Cranberry St
Cadman Plaza E & Red Cross Pl
Lafayette St & Jersey St
11 Ave & W 59 St

